DL_No;LatGr;LatMin;Latsek;LatHemisph;LonGr;LonMin;Lonsek;LonHemisph;dec_lat;dec_lon;DNAconcinwtsmpl_ng_uL;elute_vol_uL;ddH2O_add_per_elute;tot_vol_elute;dec_lat_region;dec_lon_region;rg.wtsmplloc;sampling_date;Filt.vol;Area_wt_coll_loc;wtsmplloc2
DL2018012;55;44;49.29;N;12;32;7.2492;E;55.747025;12.535347;0;0;0;0;55.628791;12.0516207;Sjaelland;16/05/2018;560;Gentofte;Gentofte_Soe_Soe_i_Gentofte
DL2018013;55;37;43.6476;N;12;3;5.83452;E;55.628791;12.0516207;458;200;0;0;55.628791;12.0516207;Sjaelland;16/05/2018;50;Roskilde;Hyrdehoej_skovsoe
DL2018014;55;37;43.6476;N;12;3;5.83452;E;55.628791;12.0516207;0;0;0;0;55.628791;12.0516207;Sjaelland;16/05/2018;50;Roskilde;Hyrdehoej_skovsoe
DL2018015;55;36;53.8704;N;12;3;26.1954;E;55.614964;12.0572765;0;0;0;0;55.628791;12.0516207;Sjaelland;16/05/2018;500;Roskilde;Himmelsoeen_Soe_i_Roskilde
DL2018016;55;36;54.96852776;N;12;3;25.80393112;E;55.61526904;12.05716776;0;0;0;0;55.628791;12.0516207;Sjaelland;16/05/2018;500;Roskilde;Himmelsoeen_Soe_i_Roskilde
DL2018017;55;30;9.0144;N;9;42;2.1204;E;55.502504;9.700589;0;0;0;0;55.25778245;10.05453676;Fyn;15/05/2018;200;Middelfart;Soe_ved_Hindsgavl
DL2018018;55;30;9.0144;N;9;42;2.1204;E;55.502504;9.700589;0;0;0;0;55.25778245;10.05453676;Fyn;15/05/2018;200;Middelfart;Soe_ved_Hindsgavl
DL2018019;56;38;9.20004;N;9;48;59.79996;E;56.6358889;9.8166111;0;0;0;0;57.597536;9.9772;N_Jylland;22/05/2018;150;Hobro;Gammel_teglgrav_v_Mariager
DL2018020;56;38;9.20004;N;9;48;59.79996;E;56.6358889;9.8166111;0;0;0;0;57.597536;9.9772;N_Jylland;22/05/2018;200;Hobro;Gammel_teglgrav_v_Mariager
DL2018021;55;34;43.87692;N;10;9;56.25396;E;55.5788547;10.1656261;0;0;0;0;55.25778245;10.05453676;Fyn;18/05/2018;200;Bogense;Engsoe_ved_Gyldensten_Strand_Nordfyn
DL2018022;55;34;43.87692;N;10;9;56.25396;E;55.5788547;10.1656261;0;0;0;0;55.25778245;10.05453676;Fyn;18/05/2018;250;Bogense;Engsoe_ved_Gyldensten_Strand_Nordfyn
DL2018023;57;8;15.774;N;9;51;10.3896;E;57.137715;9.852886;105;0;0;0;57.597536;9.9772;N_Jylland;17/05/2018;185;Aalborg;Soe_naer_Vadum
DL2018024;57;8;15.774;N;9;51;10.3896;E;57.137715;9.852886;0;0;0;0;57.597536;9.9772;N_Jylland;17/05/2018;60;Aalborg;Soe_naer_Vadum
DL2018025;56;10;9.12;N;10;8;32.64;E;56.1692;10.1424;69;0;0;0;56.0233946;9.946757;Oe_Jylland;18/05/2018;120;Aarhus;Hasle_Bakker_soe_1
DL2018026;56;10;9.12;N;10;8;32.64;E;56.1692;10.1424;0;0;0;0;56.0233946;9.946757;Oe_Jylland;18/05/2018;120;Aarhus;Hasle_Bakker_soe_1
DL2018027;55;45;29.3004;N;8;53;9.1536;E;55.758139;8.885876;794;0;0;0;55.758139;8.885876;Midt_Jylland;19/05/2018;100;Billund;Engsoeen_Soe_i_Grindsted
DL2018028;55;45;30.2544;N;8;52;45.2064;E;55.758404;8.879224;4;0;0;0;55.758139;8.885876;Midt_Jylland;19/05/2018;100;Billund;Engsoeen_Soe_i_Grindsted
DL2018029;55;45;39.384;N;8;52;52.158;E;55.76094;8.881155;35;0;0;0;55.758139;8.885876;Midt_Jylland;19/05/2018;100;Billund;Engsoeen_Soe_i_Grindsted
DL2018030;55;45;37.6884;N;8;53;10.8528;E;55.760469;8.886348;616;0;0;0;55.758139;8.885876;Midt_Jylland;19/05/2018;100;Billund;Engsoeen_Soe_i_Grindsted
DL2018031;54;46;28.5276;N;11;52;44.2488;E;54.774591;11.878958;179;0;0;0;54.774563;11.876954;Moen_Loll_Falst;17/05/2018;40;NykoebingF;Nykoebing_Katedralskoles_soe
DL2018032;54;46;28.5276;N;11;52;37.0488;E;54.774591;11.876958;161;0;0;0;54.774563;11.876954;Moen_Loll_Falst;17/05/2018;50;NykoebingF;Nykoebing_Katedralskoles_soe
DL2018033;55;44;17.1204;N;12;22;51.7332;E;55.738089;12.381037;214;0;0;0;55.628791;12.0516207;Sjaelland;23/05/2018;400;Ballerup;Borupgaard_soe
DL2018034;55;44;17.1204;N;12;22;51.7332;E;55.738089;12.381037;0;0;0;0;55.628791;12.0516207;Sjaelland;23/05/2018;400;Ballerup;Borupgaard_soe
DL2018035;55;59;39.228;N;12;31;22.4184;E;55.99423;12.522894;890;0;0;0;55.628791;12.0516207;Sjaelland;18/05/2018;143;Espergaerde;Rolighedsmosen_Espergaerde
DL2018036;55;44;19.7376;N;12;34;27.8652;E;55.738816;12.574407;640;0;0;0;55.628791;12.0516207;Sjaelland;16/05/2018;400;Hellerup;oeregaardsparken
DL2018037;55;44;19.7376;N;12;34;27.8652;E;55.738816;12.574407;0;0;0;0;55.628791;12.0516207;Sjaelland;16/05/2018;400;Hellerup;oeregaardsparken
DL2018038;55;30;1.6668;N;9;42;27.9324;E;55.500463;9.707759;0;0;0;0;55.25778245;10.05453676;Fyn;23/05/2018;100;Middelfart;Soe_v_Oddenvejen_i_oeksenrade_skov
DL2018039;55;30;1.6668;N;9;42;27.9324;E;55.500463;9.707759;914;0;0;0;55.25778245;10.05453676;Fyn;23/05/2018;400;Middelfart;Soe_v_Oddenvejen_i_oeksenrade_skov
DL2018040;55;59;59.568;N;12;31;54.8256;E;55.99988;12.531896;0;0;0;0;55.628791;12.0516207;Sjaelland;18/05/2018;130;Espergaerde;EG-Soeen
DL2018041;55;59;59.568;N;12;31;54.8256;E;55.99988;12.531896;0;0;0;0;55.628791;12.0516207;Sjaelland;18/05/2018;160;Espergaerde;EG-soeen
DL2018042;55;55;25.2552;N;12;18;49.1076;E;55.923682;12.313641;0;0;0;0;55.628791;12.0516207;Sjaelland;22/05/2018;175;Hilleroed;Teglgaardssoeen_Hilleroed
DL2018043;55;55;25.2552;N;12;18;49.1076;E;55.923682;12.313641;0;0;0;0;55.628791;12.0516207;Sjaelland;22/05/2018;175;Hilleroed;Teglgaardssoeen_Hilleroed
DL2018044;55;59;31.434;N;11;58;8.1192;E;55.992065;11.968922;798;0;0;0;55.628791;12.0516207;Sjaelland;24/05/2018;500;Hundested;Elmegaarden_Melby
DL2018045;55;59;31.434;N;11;58;8.1192;E;55.992065;11.968922;181;0;0;0;55.628791;12.0516207;Sjaelland;24/05/2018;500;Hundested;Elmegaarden_Melby
DL2018046;55;39;2.52;N;12;35;6;E;55.6507;12.585;8.18;200;0;0;55.628791;12.0516207;Sjaelland;23/05/2018;115;Koebenhavn;Groenjordssoeen
DL2018047;55;39;2.52;N;12;35;6;E;55.6507;12.585;0;0;0;0;55.628791;12.0516207;Sjaelland;23/05/2018;110;Koebenhavn;Groenjordssoeen
DL2018048;55;44;24;N;12;22;48;E;55.74;12.38;4.34;200;0;0;55.628791;12.0516207;Sjaelland;25/05/2018;450;Ballerup;Borupgaards_soe
DL2018049;55;44;24;N;12;22;48;E;55.74;12.38;0;0;0;0;55.628791;12.0516207;Sjaelland;25/05/2018;450;Ballerup;Borupgaards_soe
DL2018050;55;57;38.16;N;12;1;43.32;E;55.9606;12.0287;852;0;0;0;55.628791;12.0516207;Sjaelland;25/05/2018;250;Frederiksvaerk;Snogesoeen_i_Frederiksvaerk
DL2018051;55;57;38.16;N;12;1;43.32;E;55.9606;12.0287;181;0;0;0;55.628791;12.0516207;Sjaelland;25/05/2018;250;Frederiksvaerk;Snogesoeen_i_Frederiksvaerk
DL2018052;55;44;52.1484;N;12;32;6.5148;E;55.747819;12.535143;134;0;0;0;55.628791;12.0516207;Sjaelland;24/05/2018;500;Gentofte;Gentofte_soe
DL2018053;55;44;52.1484;N;12;32;6.5148;E;55.747819;12.535143;0;0;0;0;55.628791;12.0516207;Sjaelland;24/05/2018;500;Gentofte;Gentofte_soe
DL2018054;55;44;52.1484;N;12;32;6.5148;E;55.747819;12.535143;0;0;0;0;55.628791;12.0516207;Sjaelland;24/05/2018;500;Gentofte;Gentofte_Soe
DL2018055;55;44;52.1484;N;12;32;6.5148;E;55.747819;12.535143;0;0;0;0;55.628791;12.0516207;Sjaelland;24/05/2018;500;Gentofte;Gentofte_Soe
DL2018056;55;58;3;N;11;52;17.8968;E;55.9675;11.871638;0;0;0;0;55.628791;12.0516207;Sjaelland;25/05/2018;200;Hundested;Hundested
DL2018057;55;58;3;N;11;52;17.8968;E;55.9675;11.871638;0;0;0;0;55.628791;12.0516207;Sjaelland;25/05/2018;100;Hundested;Hundested
DL2018058;55;54;17.9892;N;8;32;10.6692;E;55.904997;8.536297;286;0;0;0;55.904997;8.536297;V_Jylland;29/05/2018;34;Hvidesande;Spejdersoeen_Tarm
DL2018059;55;54;17.9892;N;8;32;10.6692;E;55.904997;8.536297;0;0;0;0;55.904997;8.536297;V_Jylland;29/05/2018;57;Hvidesande;Spejdersoeen_Tarm
DL2018060;55;47;11.058;N;12;26;41.9352;E;55.786405;12.444982;4;0;0;0;55.628791;12.0516207;Sjaelland;26/05/2018;500;Lyngby;Furesoeen_Virum
DL2018061;55;47;11.058;N;12;26;41.9352;E;55.786405;12.444982;0;0;0;0;55.628791;12.0516207;Sjaelland;26/05/2018;500;Lyngby;Furesoeen_Virum
DL2018062;56;1;24.22056;N;9;56;48.3252;E;56.0233946;9.946757;0;0;0;0;56.0233946;9.946757;Oe_Jylland;28/05/2018;500;Aarhus;Skanderborg_Soe
DL2018063;56;1;24.22056;N;9;56;48.3252;E;56.0233946;9.946757;0;0;0;0;56.0233946;9.946757;Oe_Jylland;28/05/2018;500;Aarhus;Skanderborg_soe
DL2018064;55;28;51.9456;N;12;9;54.324;E;55.481096;12.16509;0;0;0;0;55.628791;12.0516207;Sjaelland;22/05/2018;200;Koege;Soeen_v_Bellingestien
DL2018065;55;28;51.9456;N;12;9;54.324;E;55.481096;12.16509;0;0;0;0;55.628791;12.0516207;Sjaelland;22/05/2018;150;Koege;Soeen_v_Bellingestien
DL2018066;57;0;44.28;N;9;54;51.48;E;57.0123;9.9143;0;0;0;0;57.597536;9.9772;N_Jylland;28/05/2018;250;Aalborg;Store_Fuglesoe_oesteraadal
DL2018067;55;53;49.2828;N;12;28;35.7348;E;55.897023;12.476593;0;0;0;0;55.628791;12.0516207;Sjaelland;28/05/2018;400;Helsingoer;Lille_soe_v_Bakkehusene
DL2018068;55;53;49.2828;N;12;28;35.7348;E;55.897023;12.476593;0;0;0;0;55.628791;12.0516207;Sjaelland;28/05/2018;400;Helsingoer;Lille_soe_v_Bakkehusene
DL2018069;55;45;31.3812;N;8;53;24.4644;E;55.758717;8.890129;0;0;0;0;55.758139;8.885876;Midt_Jylland;22/05/2018;220;Billund;Engsoeen_Grindsted
DL2018070;55;45;31.3812;N;8;53;24.4644;E;55.758717;8.890129;0;0;0;0;55.758139;8.885876;Midt_Jylland;22/05/2018;220;Billund;Engsoeen_Grindsted
